gene	ensg	dataset	study_id	study	tissue	quant	n	n_cs	max_pip	n_mtid	best_mtid
ABCA1	ENSG00000165029	QTD000420	QTS000024	Quach_2016	monocyte	exon	196	2	0.9993	2	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000425	QTS000024	Quach_2016	monocyte	exon	191	1	0.9988	1	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000415	QTS000024	Quach_2016	monocyte	exon	184	27	1.0	3	ENSG00000165029.17_9_104830925_104830989
ABCA1	ENSG00000165029	QTD000390	QTS000021	Nedelec_2016	macrophage	exon	167	1	1.0	1	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000380	QTS000021	Nedelec_2016	macrophage	exon	163	1	1.0	1	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000385	QTS000021	Nedelec_2016	macrophage	exon	163	2	1.0	2	ENSG00000165029.17_9_104861438_104861678
ABCA1	ENSG00000165029	QTD000475	QTS000026	Schmiedel_2018	B cell	exon	91	34	0.6829	2	ENSG00000165029.17_9_104791936_104791998
ABCA1	ENSG00000165029	QTD000607	QTS000038	OneK1K	memory B cell	ge	981	18	0.0999	1	ENSG00000165029
ABCA1	ENSG00000165029	QTD000608	QTS000038	OneK1K	B cell	ge	980	11	0.133	1	ENSG00000165029
ABCA1	ENSG00000165029	QTD000606	QTS000038	OneK1K	B cell	ge	977	13	0.2566	1	ENSG00000165029
ABCA1	ENSG00000165029	QTD000539	QTS000029	TwinsUK	LCL	ge	418	14	0.1422	1	ENSG00000165029
ABCA1	ENSG00000165029	QTD000579	QTS000034	Walker_2019	neocortex	ge	211	3	0.8953	1	ENSG00000165029
ABCA1	ENSG00000165029	QTD000474	QTS000026	Schmiedel_2018	B cell	ge	91	13	0.13	1	ENSG00000165029
ABCA1	ENSG00000165029	QTD000320	QTS000015	GTEx	skin	leafcutter	602	20	0.682	1	9:104858698:104861679:clu_24086_-
ABCA1	ENSG00000165029	QTD000120	QTS000015	GTEx	adipose	leafcutter	581	1	0.9999	1	9:104858698:104861679:clu_23489_-
ABCA1	ENSG00000165029	QTD000290	QTS000015	GTEx	tibial nerve	leafcutter	532	4	0.5662	1	9:104861523:104861679:clu_23150_-
ABCA1	ENSG00000165029	QTD000315	QTS000015	GTEx	skin (suprapubic)	leafcutter	517	12	0.5216	1	9:104802159:104803284:clu_24076_-
ABCA1	ENSG00000165029	QTD000275	QTS000015	GTEx	lung	leafcutter	510	2	0.913	1	9:104858698:104861679:clu_27155_-
ABCA1	ENSG00000165029	QTD000125	QTS000015	GTEx	adipose (visceral)	leafcutter	469	1	0.9921	1	9:104858698:104861679:clu_23489_-
ABCA1	ENSG00000165029	QTD000250	QTS000015	GTEx	esophagus (muscularis)	leafcutter	461	1	0.971	1	9:104858698:104861679:clu_23957_-
ABCA1	ENSG00000165029	QTD000235	QTS000015	GTEx	transverse colon	leafcutter	368	27	0.4422	1	9:104861523:104861679:clu_23428_-
ABCA1	ENSG00000165029	QTD000240	QTS000015	GTEx	esophagus (gej)	leafcutter	330	1	0.9604	1	9:104858698:104861679:clu_23957_-
ABCA1	ENSG00000165029	QTD000230	QTS000015	GTEx	sigmoid colon	leafcutter	318	12	0.9655	2	9:104858698:104861679:clu_23428_-
ABCA1	ENSG00000165029	QTD000094	QTS000011	FUSION	adipose	leafcutter	271	27	0.0489	1	9:104858698:104861679:clu_69737_+
ABCA1	ENSG00000165029	QTD000130	QTS000015	GTEx	adrenal gland	leafcutter	233	11	0.8178	1	9:104861523:104861679:clu_27578_-
ABCA1	ENSG00000165029	QTD000413	QTS000024	Quach_2016	monocyte	leafcutter	200	1	1.0	1	9:104786976:104787920:clu_18638_-
ABCA1	ENSG00000165029	QTD000030	QTS000002	BLUEPRINT	neutrophil	leafcutter	196	24	0.3384	1	9:104861523:104861679:clu_10865_-
ABCA1	ENSG00000165029	QTD000423	QTS000024	Quach_2016	monocyte	leafcutter	196	9	1.0	4	9:104786390:104786873:clu_18638_-
ABCA1	ENSG00000165029	QTD000428	QTS000024	Quach_2016	monocyte	leafcutter	191	16	1.0	3	9:104861523:104861679:clu_18647_-
ABCA1	ENSG00000165029	QTD000418	QTS000024	Quach_2016	monocyte	leafcutter	184	4	1.0	3	9:104858698:104861679:clu_18647_-
ABCA1	ENSG00000165029	QTD000393	QTS000021	Nedelec_2016	macrophage	leafcutter	167	1	1.0	1	9:104858698:104861679:clu_14760_-
ABCA1	ENSG00000165029	QTD000408	QTS000023	PhLiPS	hepatocyte	leafcutter	79	1	0.9987	1	9:104861523:104861679:clu_51510_+
ABCA1	ENSG00000165029	QTD000080	QTS000009	Fairfax_2012	B cell	microarray	281	14	0.095	1	ILMN_1766054
ABCA1	ENSG00000165029	QTD000073	QTS000007	CEDAR	B cell	microarray	262	4	0.2558	1	ILMN_1766054
ABCA1	ENSG00000165029	QTD000118	QTS000015	GTEx	adipose	tx	581	11	0.9966	2	ENST00000374733
ABCA1	ENSG00000165029	QTD000288	QTS000015	GTEx	tibial nerve	tx	532	2	0.5426	1	ENST00000374733
ABCA1	ENSG00000165029	QTD000123	QTS000015	GTEx	adipose (visceral)	tx	469	5	0.621	1	ENST00000374733
ABCA1	ENSG00000165029	QTD000213	QTS000015	GTEx	breast	tx	394	21	0.5377	1	ENST00000374733
ABCA1	ENSG00000165029	QTD000092	QTS000011	FUSION	adipose	tx	271	3	0.4731	1	ENST00000374733
ABCA1	ENSG00000165029	QTD000128	QTS000015	GTEx	adrenal gland	tx	233	4	0.9354	2	ENST00000374733
ABCA1	ENSG00000165029	QTD000268	QTS000015	GTEx	liver	tx	208	11	0.6636	1	ENST00000374733
ABCA1	ENSG00000165029	QTD000421	QTS000024	Quach_2016	monocyte	tx	196	2	0.8951	1	ENST00000374733
ABCA1	ENSG00000165029	QTD000391	QTS000021	Nedelec_2016	macrophage	tx	167	1	1.0	1	ENST00000374733
ABCA1	ENSG00000165029	QTD000381	QTS000021	Nedelec_2016	macrophage	tx	163	1	1.0	1	ENST00000374733
ABCA1	ENSG00000165029	QTD000386	QTS000021	Nedelec_2016	macrophage	tx	163	7	1.0	1	ENST00000374733
ABCA1	ENSG00000165029	QTD000319	QTS000015	GTEx	skin	txrev	602	1	0.9504	1	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCA1	ENSG00000165029	QTD000119	QTS000015	GTEx	adipose	txrev	581	1	0.9999	1	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCA1	ENSG00000165029	QTD000289	QTS000015	GTEx	tibial nerve	txrev	532	2	0.6592	1	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCA1	ENSG00000165029	QTD000124	QTS000015	GTEx	adipose (visceral)	txrev	469	2	0.7959	1	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCA1	ENSG00000165029	QTD000537	QTS000029	TwinsUK	adipose	txrev	381	25	0.8012	1	ENSG00000165029.grp_1.upstream.ENSG00000165029_CAGE1
ABCA1	ENSG00000165029	QTD000093	QTS000011	FUSION	adipose	txrev	271	42	0.527	2	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCA1	ENSG00000165029	QTD000129	QTS000015	GTEx	adrenal gland	txrev	233	1	0.997	1	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCA1	ENSG00000165029	QTD000269	QTS000015	GTEx	liver	txrev	208	8	0.933	1	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCA1	ENSG00000165029	QTD000422	QTS000024	Quach_2016	monocyte	txrev	196	1	0.9973	1	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCA1	ENSG00000165029	QTD000427	QTS000024	Quach_2016	monocyte	txrev	191	1	0.9922	1	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCA1	ENSG00000165029	QTD000392	QTS000021	Nedelec_2016	macrophage	txrev	167	1	1.0	1	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCA1	ENSG00000165029	QTD000382	QTS000021	Nedelec_2016	macrophage	txrev	163	23	1.0	2	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCA1	ENSG00000165029	QTD000387	QTS000021	Nedelec_2016	macrophage	txrev	163	1	1.0	1	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCA1	ENSG00000165029	QTD000014	QTS000001	Alasoo_2018	macrophage	txrev	84	29	0.0849	1	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCA1	ENSG00000165029	QTD000407	QTS000023	PhLiPS	hepatocyte	txrev	79	1	0.9998	1	ENSG00000165029.grp_2.downstream.ENST00000374733
ABCG5	ENSG00000138075	QTD000326	QTS000015	GTEx	spleen	ge	227	17	0.2445	1	ENSG00000138075
ABCG8	ENSG00000143921	QTD000535	QTS000029	TwinsUK	adipose	exon	381	12	0.4968	2	ENSG00000143921.9_2_43872223_43872306
ABCG8	ENSG00000143921	QTD000232	QTS000015	GTEx	transverse colon	exon	368	3	0.8028	1	ENSG00000143921.9_2_43832142_43832661
ABCG8	ENSG00000143921	QTD000534	QTS000029	TwinsUK	adipose	ge	381	11	0.2774	1	ENSG00000143921
ABCG8	ENSG00000143921	QTD000231	QTS000015	GTEx	transverse colon	ge	368	3	0.7617	1	ENSG00000143921
APOA5	ENSG00000110243	QTD000584	QTS000035	Sun_2018	plasma	aptamer	3301	1	0.9847	1	APOA5.11318.20.3..1
APOB	ENSG00000084674	QTD000317	QTS000015	GTEx	skin	exon	602	2	0.7418	1	ENSG00000084674.15_2_21024933_21024964
APOB	ENSG00000084674	QTD000117	QTS000015	GTEx	adipose	exon	581	35	0.2156	1	ENSG00000084674.15_2_21004561_21004675
APOB	ENSG00000084674	QTD000287	QTS000015	GTEx	tibial nerve	exon	532	4	0.8838	1	ENSG00000084674.15_2_21005080_21011352
APOB	ENSG00000084674	QTD000312	QTS000015	GTEx	skin (suprapubic)	exon	517	23	0.735	2	ENSG00000084674.15_2_21015073_21015260
APOB	ENSG00000084674	QTD000257	QTS000015	GTEx	heart (left ventricle)	exon	382	2	0.9047	1	ENSG00000084674.15_2_21001429_21003334
APOB	ENSG00000084674	QTD000535	QTS000029	TwinsUK	adipose	exon	381	87	0.0587	1	ENSG00000084674.15_2_21028327_21028538
APOB	ENSG00000084674	QTD000091	QTS000011	FUSION	adipose	exon	271	16	0.9758	2	ENSG00000084674.15_2_21042466_21042476
APOB	ENSG00000084674	QTD000316	QTS000015	GTEx	skin	ge	602	4	0.5116	1	ENSG00000084674
APOB	ENSG00000084674	QTD000075	QTS000008	CommonMind	brain (DLPFC)	ge	586	1	0.9751	1	ENSG00000084674
APOB	ENSG00000084674	QTD000116	QTS000015	GTEx	adipose	ge	581	32	0.2738	1	ENSG00000084674
APOB	ENSG00000084674	QTD000286	QTS000015	GTEx	tibial nerve	ge	532	4	0.8482	1	ENSG00000084674
APOB	ENSG00000084674	QTD000311	QTS000015	GTEx	skin (suprapubic)	ge	517	4	0.7573	1	ENSG00000084674
APOB	ENSG00000084674	QTD000256	QTS000015	GTEx	heart (left ventricle)	ge	382	2	0.9413	1	ENSG00000084674
APOB	ENSG00000084674	QTD000534	QTS000029	TwinsUK	adipose	ge	381	55	0.0412	1	ENSG00000084674
APOB	ENSG00000084674	QTD000090	QTS000011	FUSION	adipose	ge	271	13	0.1808	1	ENSG00000084674
APOB	ENSG00000084674	QTD000319	QTS000015	GTEx	skin	txrev	602	4	0.3281	1	ENSG00000084674.grp_1.downstream.ENST00000233242
APOB	ENSG00000084674	QTD000078	QTS000008	CommonMind	brain (DLPFC)	txrev	586	31	0.7369	1	ENSG00000084674.grp_1.downstream.ENST00000399256
APOB	ENSG00000084674	QTD000119	QTS000015	GTEx	adipose	txrev	581	30	0.2563	1	ENSG00000084674.grp_1.downstream.ENST00000399256
APOB	ENSG00000084674	QTD000314	QTS000015	GTEx	skin (suprapubic)	txrev	517	4	0.5878	1	ENSG00000084674.grp_1.downstream.ENST00000399256
APOB	ENSG00000084674	QTD000259	QTS000015	GTEx	heart (left ventricle)	txrev	382	11	0.5469	1	ENSG00000084674.grp_1.downstream.ENST00000233242
APOB	ENSG00000084674	QTD000537	QTS000029	TwinsUK	adipose	txrev	381	75	0.0397	1	ENSG00000084674.grp_2.contained.ENSG00000084674_CAGE65
APOE	ENSG00000130203	QTD000584	QTS000035	Sun_2018	plasma	aptamer	3301	25	0.535	2	APOE.5312.49.3..1
APOE	ENSG00000130203	QTD000316	QTS000015	GTEx	skin	ge	602	3	0.7627	1	ENSG00000130203
APOE	ENSG00000130203	QTD000286	QTS000015	GTEx	tibial nerve	ge	532	1	1.0	1	ENSG00000130203
APOE	ENSG00000130203	QTD000271	QTS000015	GTEx	lung	ge	510	12	0.1835	1	ENSG00000130203
APOE	ENSG00000130203	QTD000246	QTS000015	GTEx	esophagus (muscularis)	ge	461	1	0.984	1	ENSG00000130203
APOE	ENSG00000130203	QTD000534	QTS000029	TwinsUK	adipose	ge	381	9	0.2149	1	ENSG00000130203
APOE	ENSG00000130203	QTD000544	QTS000029	TwinsUK	skin	ge	370	6	0.6047	1	ENSG00000130203
APOE	ENSG00000130203	QTD000336	QTS000015	GTEx	testis	ge	322	1	1.0	1	ENSG00000130203
APOE	ENSG00000130203	QTD000409	QTS000024	Quach_2016	monocyte	ge	200	3	0.9982	1	ENSG00000130203
APOE	ENSG00000130203	QTD000429	QTS000024	Quach_2016	monocyte	ge	198	4	0.8556	1	ENSG00000130203
APOE	ENSG00000130203	QTD000414	QTS000024	Quach_2016	monocyte	ge	184	2	0.514	1	ENSG00000130203
APOE	ENSG00000130203	QTD000389	QTS000021	Nedelec_2016	macrophage	ge	167	18	0.5707	1	ENSG00000130203
APOE	ENSG00000130203	QTD000379	QTS000021	Nedelec_2016	macrophage	ge	163	9	0.7203	1	ENSG00000130203
APOE	ENSG00000130203	QTD000384	QTS000021	Nedelec_2016	macrophage	ge	163	4	0.8647	1	ENSG00000130203
APOE	ENSG00000130203	QTD000438	QTS000025	ROSMAP	brain (DLPFC)	leafcutter	560	1	0.996	1	19:44905923:44906602:clu_15079_-
APOE	ENSG00000130203	QTD000055	QTS000005	BrainSeq	brain (DLPFC)	leafcutter	479	2	0.9152	1	19:44905841:44906602:clu_57413_+
APOE	ENSG00000130203	QTD000175	QTS000015	GTEx	brain (cortex)	leafcutter	205	1	0.9825	1	19:44905923:44906602:clu_57712_+
APOE	ENSG00000130203	QTD000195	QTS000015	GTEx	brain (nucleus accumbens)	leafcutter	202	1	0.9995	1	19:44905841:44906602:clu_57529_+
APOE	ENSG00000130203	QTD000190	QTS000015	GTEx	brain (hypothalamus)	leafcutter	170	1	0.9912	1	19:44905923:44906602:clu_57529_+
APOE	ENSG00000130203	QTD000200	QTS000015	GTEx	brain (putamen)	leafcutter	170	1	0.9986	1	19:44905923:44906602:clu_57529_+
APOE	ENSG00000130203	QTD000185	QTS000015	GTEx	brain (hippocampus)	leafcutter	165	1	0.9981	1	19:44905923:44906602:clu_57529_+
APOE	ENSG00000130203	QTD000383	QTS000021	Nedelec_2016	macrophage	leafcutter	163	4	0.8187	1	19:44905923:44906602:clu_34797_+
APOE	ENSG00000130203	QTD000155	QTS000015	GTEx	brain (anterior cingulate cortex)	leafcutter	147	2	0.888	1	19:44905841:44906602:clu_57712_+
APOE	ENSG00000130203	QTD000082	QTS000010	Fairfax_2014	monocyte	microarray	370	68	0.3733	1	ILMN_1740938
APOE	ENSG00000130203	QTD000084	QTS000010	Fairfax_2014	monocyte	microarray	325	22	0.2395	1	ILMN_1740938
APOE	ENSG00000130203	QTD000083	QTS000010	Fairfax_2014	monocyte	microarray	256	23	0.7044	1	ILMN_1740938
APOE	ENSG00000130203	QTD000752	QTS000042	Kim-Hellmuth_2017	monocyte	microarray	96	17	0.145	1	ILMN_1740938
APOE	ENSG00000130203	QTD000436	QTS000025	ROSMAP	brain (DLPFC)	tx	560	7	0.6987	1	ENST00000434152
APOE	ENSG00000130203	QTD000288	QTS000015	GTEx	tibial nerve	tx	532	1	1.0	1	ENST00000485628
APOE	ENSG00000130203	QTD000273	QTS000015	GTEx	lung	tx	510	1	0.9791	1	ENST00000434152
APOE	ENSG00000130203	QTD000053	QTS000005	BrainSeq	brain (DLPFC)	tx	479	1	0.998	1	ENST00000434152
APOE	ENSG00000130203	QTD000546	QTS000029	TwinsUK	skin	tx	370	1	0.9959	1	ENST00000434152
APOE	ENSG00000130203	QTD000338	QTS000015	GTEx	testis	tx	322	1	1.0	1	ENST00000252486
APOE	ENSG00000130203	QTD000173	QTS000015	GTEx	brain (cortex)	tx	205	1	0.9979	1	ENST00000434152
APOE	ENSG00000130203	QTD000178	QTS000015	GTEx	brain (DLPFC)	tx	175	1	0.9971	1	ENST00000434152
APOE	ENSG00000130203	QTD000198	QTS000015	GTEx	brain (putamen)	tx	170	1	0.9944	1	ENST00000434152
APOE	ENSG00000130203	QTD000208	QTS000015	GTEx	brain (substantia nigra)	tx	114	1	0.9825	1	ENST00000252486
APOE	ENSG00000130203	QTD000008	QTS000001	Alasoo_2018	macrophage	tx	84	3	0.9317	1	ENST00000434152
APOE	ENSG00000130203	QTD000013	QTS000001	Alasoo_2018	macrophage	tx	84	2	0.9124	1	ENST00000434152
APOE	ENSG00000130203	QTD000521	QTS000028	Steinberg_2020	synovium	tx	72	1	0.9995	1	ENST00000434152
APOE	ENSG00000130203	QTD000344	QTS000015	GTEx	thyroid	txrev	574	1	0.9894	1	ENSG00000130203.grp_2.upstream.ENST00000434152
APOE	ENSG00000130203	QTD000437	QTS000025	ROSMAP	brain (DLPFC)	txrev	560	8	0.4964	1	ENSG00000130203.grp_1.upstream.ENST00000434152
APOE	ENSG00000130203	QTD000289	QTS000015	GTEx	tibial nerve	txrev	532	2	1.0	2	ENSG00000130203.grp_2.contained.ENST00000446996
APOE	ENSG00000130203	QTD000274	QTS000015	GTEx	lung	txrev	510	18	0.9999	2	ENSG00000130203.grp_2.upstream.ENST00000434152
APOE	ENSG00000130203	QTD000054	QTS000005	BrainSeq	brain (DLPFC)	txrev	479	1	0.9837	1	ENSG00000130203.grp_2.upstream.ENST00000434152
APOE	ENSG00000130203	QTD000547	QTS000029	TwinsUK	skin	txrev	370	1	0.9705	1	ENSG00000130203.grp_2.upstream.ENST00000434152
APOE	ENSG00000130203	QTD000339	QTS000015	GTEx	testis	txrev	322	10	1.0	3	ENSG00000130203.grp_2.contained.ENST00000446996
APOE	ENSG00000130203	QTD000129	QTS000015	GTEx	adrenal gland	txrev	233	1	0.9951	1	ENSG00000130203.grp_2.upstream.ENST00000434152
APOE	ENSG00000130203	QTD000194	QTS000015	GTEx	brain (nucleus accumbens)	txrev	202	1	0.9786	1	ENSG00000130203.grp_2.upstream.ENST00000434152
APOE	ENSG00000130203	QTD000412	QTS000024	Quach_2016	monocyte	txrev	200	2	0.7508	1	ENSG00000130203.grp_2.contained.ENST00000446996
APOE	ENSG00000130203	QTD000432	QTS000024	Quach_2016	monocyte	txrev	198	4	0.6398	1	ENSG00000130203.grp_2.contained.ENST00000446996
APOE	ENSG00000130203	QTD000392	QTS000021	Nedelec_2016	macrophage	txrev	167	1	0.9764	1	ENSG00000130203.grp_2.upstream.ENST00000434152
APOE	ENSG00000130203	QTD000382	QTS000021	Nedelec_2016	macrophage	txrev	163	1	0.9884	1	ENSG00000130203.grp_2.upstream.ENST00000434152
APOE	ENSG00000130203	QTD000387	QTS000021	Nedelec_2016	macrophage	txrev	163	1	0.9854	1	ENSG00000130203.grp_2.upstream.ENST00000434152
APOE	ENSG00000130203	QTD000009	QTS000001	Alasoo_2018	macrophage	txrev	84	1	0.9924	1	ENSG00000130203.grp_1.upstream.ENST00000434152
APOE	ENSG00000130203	QTD000522	QTS000028	Steinberg_2020	synovium	txrev	72	1	0.9991	1	ENSG00000130203.grp_1.upstream.ENST00000434152
CETP	ENSG00000087237	QTD000342	QTS000015	GTEx	thyroid	exon	574	6	0.4514	1	ENSG00000087237.12_16_56962107_56962296
CETP	ENSG00000087237	QTD000122	QTS000015	GTEx	adipose (visceral)	exon	469	11	0.2077	1	ENSG00000087237.12_16_56962107_56962296
CETP	ENSG00000087237	QTD000111	QTS000013	GEUVADIS	LCL	exon	445	1	0.9876	1	ENSG00000087237.12_16_56975101_56975151
CETP	ENSG00000087237	QTD000540	QTS000029	TwinsUK	LCL	exon	418	2	0.9148	1	ENSG00000087237.12_16_56978091_56978255
CETP	ENSG00000087237	QTD000337	QTS000015	GTEx	testis	exon	322	6	1.0	3	ENSG00000087237.12_16_56961950_56961981
CETP	ENSG00000087237	QTD000327	QTS000015	GTEx	spleen	exon	227	5	0.4575	1	ENSG00000087237.12_16_56962107_56962296
CETP	ENSG00000087237	QTD000271	QTS000015	GTEx	lung	ge	510	10	0.2466	1	ENSG00000087237
CETP	ENSG00000087237	QTD000216	QTS000015	GTEx	fibroblast	ge	483	7	0.2451	1	ENSG00000087237
CETP	ENSG00000087237	QTD000246	QTS000015	GTEx	esophagus (muscularis)	ge	461	3	0.5536	1	ENSG00000087237
CETP	ENSG00000087237	QTD000110	QTS000013	GEUVADIS	LCL	ge	445	3	0.7201	1	ENSG00000087237
CETP	ENSG00000087237	QTD000539	QTS000029	TwinsUK	LCL	ge	418	1	0.9624	1	ENSG00000087237
CETP	ENSG00000087237	QTD000231	QTS000015	GTEx	transverse colon	ge	368	16	0.1422	1	ENSG00000087237
CETP	ENSG00000087237	QTD000331	QTS000015	GTEx	stomach	ge	324	14	0.1792	1	ENSG00000087237
CETP	ENSG00000087237	QTD000021	QTS000002	BLUEPRINT	monocyte	ge	191	4	0.3179	1	ENSG00000087237
CETP	ENSG00000087237	QTD000394	QTS000022	Peng_2018	placenta	ge	149	11	0.1631	1	ENSG00000087237
CETP	ENSG00000087237	QTD000345	QTS000015	GTEx	thyroid	leafcutter	574	1	0.9592	1	16:56972083:56975101:clu_26021_+
CETP	ENSG00000087237	QTD000114	QTS000013	GEUVADIS	LCL	leafcutter	445	3	0.6509	1	16:56972083:56973331:clu_14628_+
CETP	ENSG00000087237	QTD000094	QTS000011	FUSION	adipose	leafcutter	271	2	0.8925	1	16:56972083:56975101:clu_3423_-
CETP	ENSG00000087237	QTD000081	QTS000010	Fairfax_2014	monocyte	microarray	420	13	0.8456	2	ILMN_1681882
CETP	ENSG00000087237	QTD000069	QTS000007	CEDAR	monocyte	microarray	286	9	0.2915	1	ILMN_2098013
CETP	ENSG00000087237	QTD000343	QTS000015	GTEx	thyroid	tx	574	12	0.9886	2	ENST00000379780
CETP	ENSG00000087237	QTD000123	QTS000015	GTEx	adipose (visceral)	tx	469	20	0.9702	1	ENST00000200676
CETP	ENSG00000087237	QTD000541	QTS000029	TwinsUK	LCL	tx	418	3	0.5215	1	ENST00000650358
CETP	ENSG00000087237	QTD000536	QTS000029	TwinsUK	adipose	tx	381	5	0.8372	1	ENST00000379780
CETP	ENSG00000087237	QTD000092	QTS000011	FUSION	adipose	tx	271	2	0.8806	1	ENST00000200676
CETP	ENSG00000087237	QTD000303	QTS000015	GTEx	pituitary	tx	237	2	0.8276	1	ENST00000379780
CETP	ENSG00000087237	QTD000328	QTS000015	GTEx	spleen	tx	227	12	0.8866	2	ENST00000200676
CETP	ENSG00000087237	QTD000344	QTS000015	GTEx	thyroid	txrev	574	3	0.9994	2	ENSG00000087237.grp_1.contained.ENST00000379780
CETP	ENSG00000087237	QTD000124	QTS000015	GTEx	adipose (visceral)	txrev	469	11	0.9708	1	ENSG00000087237.grp_1.contained.ENST00000200676
CETP	ENSG00000087237	QTD000113	QTS000013	GEUVADIS	LCL	txrev	445	1	0.9642	1	ENSG00000087237.grp_1.contained.ENST00000650358
CETP	ENSG00000087237	QTD000542	QTS000029	TwinsUK	LCL	txrev	418	3	0.7225	1	ENSG00000087237.grp_1.contained.ENST00000650358
CETP	ENSG00000087237	QTD000537	QTS000029	TwinsUK	adipose	txrev	381	1	0.9913	1	ENSG00000087237.grp_1.contained.ENST00000379780
CETP	ENSG00000087237	QTD000093	QTS000011	FUSION	adipose	txrev	271	2	0.9418	1	ENSG00000087237.grp_1.contained.ENST00000200676
CETP	ENSG00000087237	QTD000304	QTS000015	GTEx	pituitary	txrev	237	1	0.9773	1	ENSG00000087237.grp_1.contained.ENST00000379780
CETP	ENSG00000087237	QTD000329	QTS000015	GTEx	spleen	txrev	227	2	0.9337	1	ENSG00000087237.grp_1.contained.ENST00000379780
HMGCR	ENSG00000113161	QTD000317	QTS000015	GTEx	skin	exon	602	3	0.8558	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000076	QTS000008	CommonMind	brain (DLPFC)	exon	586	159	0.214	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000117	QTS000015	GTEx	adipose	exon	581	111	0.944	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000342	QTS000015	GTEx	thyroid	exon	574	1	0.9999	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000435	QTS000025	ROSMAP	brain (DLPFC)	exon	560	197	0.0558	2	ENSG00000113161.17_5_75362102_75364001
HMGCR	ENSG00000113161	QTD000287	QTS000015	GTEx	tibial nerve	exon	532	1	0.9999	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000312	QTS000015	GTEx	skin (suprapubic)	exon	517	159	0.9995	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000272	QTS000015	GTEx	lung	exon	510	1	0.983	1	ENSG00000113161.17_5_75355215_75355364
