gene	ensg	dataset	study_id	study	tissue	quant	n	n_cs	max_pip	n_mtid	best_mtid
CETP	ENSG00000087237	QTD000342	QTS000015	GTEx	thyroid	exon	574	6	0.4514	1	ENSG00000087237.12_16_56962107_56962296
CETP	ENSG00000087237	QTD000271	QTS000015	GTEx	lung	ge	510	10	0.2466	1	ENSG00000087237
CETP	ENSG00000087237	QTD000345	QTS000015	GTEx	thyroid	leafcutter	574	1	0.9592	1	16:56972083:56975101:clu_26021_+
CETP	ENSG00000087237	QTD000081	QTS000010	Fairfax_2014	monocyte	microarray	420	13	0.8456	2	ILMN_1681882
CETP	ENSG00000087237	QTD000343	QTS000015	GTEx	thyroid	tx	574	12	0.9886	2	ENST00000379780
CETP	ENSG00000087237	QTD000344	QTS000015	GTEx	thyroid	txrev	574	3	0.9994	2	ENSG00000087237.grp_1.contained.ENST00000379780
HMGCR	ENSG00000113161	QTD000317	QTS000015	GTEx	skin	exon	602	3	0.8558	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000085	QTS000011	FUSION	muscle	ge	288	63	0.0771	1	ENSG00000113161
HMGCR	ENSG00000113161	QTD000245	QTS000015	GTEx	esophagus (mucosa)	leafcutter	493	1	0.9769	1	5:75354697:75355365:clu_37758_+
HMGCR	ENSG00000113161	QTD000318	QTS000015	GTEx	skin	tx	602	2	0.9289	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000319	QTS000015	GTEx	skin	txrev	602	1	0.9956	1	ENSG00000113161.grp_2.contained.ENST00000508070
LDLR	ENSG00000130164	QTD000031	QTS000002	BLUEPRINT	CD4+ T cell	ge	167	2	0.8225	1	ENSG00000130164
LDLR	ENSG00000130164	QTD000365	QTS000016	HipSci	iPSC	leafcutter	322	32	0.1981	1	19:11116212:11120092:clu_14509_-
LDLR	ENSG00000130164	QTD000318	QTS000015	GTEx	skin	tx	602	74	0.0661	2	ENST00000559340
LDLR	ENSG00000130164	QTD000319	QTS000015	GTEx	skin	txrev	602	1	0.9946	1	ENSG00000130164.grp_2.contained.ENST00000560173
LPL	ENSG00000175445	QTD000357	QTS000015	GTEx	blood	exon	670	16	0.778	1	ENSG00000175445.17_8_19948304_19948340
LPL	ENSG00000175445	QTD000356	QTS000015	GTEx	blood	ge	670	36	0.2699	1	ENSG00000175445
LPL	ENSG00000175445	QTD000160	QTS000015	GTEx	brain (caudate)	leafcutter	194	18	0.0879	1	8:19962219:19965310:clu_11475_+
LPL	ENSG00000175445	QTD000081	QTS000010	Fairfax_2014	monocyte	microarray	420	80	0.1968	1	ILMN_1786444
LPL	ENSG00000175445	QTD000243	QTS000015	GTEx	esophagus (mucosa)	tx	493	2	0.94	1	ENST00000650287
LPL	ENSG00000175445	QTD000119	QTS000015	GTEx	adipose	txrev	581	5	0.4848	1	ENSG00000175445.grp_2.contained.ENST00000524029
NPC1L1	ENSG00000015520	QTD000117	QTS000015	GTEx	adipose	exon	581	1	0.9574	1	ENSG00000015520.15_7_44512538_44513649
NPC1L1	ENSG00000015520	QTD000281	QTS000015	GTEx	muscle	ge	702	3	0.3334	1	ENSG00000015520
PCSK9	ENSG00000169174	QTD000287	QTS000015	GTEx	tibial nerve	exon	532	1	0.999	1	ENSG00000169174.11_1_55059486_55059663
PCSK9	ENSG00000169174	QTD000286	QTS000015	GTEx	tibial nerve	ge	532	2	0.7607	1	ENSG00000169174
PCSK9	ENSG00000169174	QTD000124	QTS000015	GTEx	adipose (visceral)	txrev	469	11	0.2438	1	ENSG00000169174.grp_2.downstream.ENST00000673903
